Tema,Indicador,ID,Nome,Classificador
3,1,0,Nacional,Brasil
3,1,1,Feminino,Sexo
3,1,2,Masculino,Sexo
3,1,3,Branca,Raça/Cor
3,1,4,Negra,Raça/Cor
3,2,0,Nacional,Brasil
3,3,0,Nacional,Brasil
3,4,?,?,?
3,5,0,Nacional,Brasil
3,5,3,Branca,Raça/Cor
3,5,4,Negra,Raça/Cor
3,5,5,10 a 17 anos,Faixa etária da mãe
3,5,6,18 a 49 anos,Faixa etária da mãe
3,5,7,Nenhum,Anos de estudos concluídos da mãe
3,5,8,1 a 3 anos,Anos de estudos concluídos da mãe
3,5,9,4 a 7 anos,Anos de estudos concluídos da mãe
3,5,10,8 a 11 anos,Anos de estudos concluídos da mãe
3,5,11,12 anos ou mais,Anos de estudos concluídos da mãe
3,5,19,Algumas doenças infecciosas e parasitárias,Causas de mortalidade
3,5,20,Neoplasias,Causas de mortalidade
3,5,21,Doenças do aparelho circulatórias,Causas de mortalidade
3,5,22,Doenças do aparelho respiratório,Causas de mortalidade
3,5,23,Algumas afecções originadas no período perinatal,Causas de mortalidade
3,5,24,Causas externas,Causas de mortalidade
3,5,25,Demais causas definidas,Causas de mortalidade
3,6,0,Nacional,Brasil
3,7,0,Nacional,Brasil
3,8,0,Nacional,Brasil
3,8,3,Branca,Raça/Cor
3,8,4,Negra,Raça/Cor
3,8,5,10 a 17 anos,Faixa etária da mãe
3,8,6,18 a 49 anos,Faixa etária da mãe
3,8,7,Nenhum,Anos de estudos concluídos da mãe
3,8,8,1 a 3 anos,Anos de estudos concluídos da mãe
3,8,9,4 a 7 anos,Anos de estudos concluídos da mãe
3,8,10,8 a 11 anos,Anos de estudos concluídos da mãe
3,8,11,12 anos ou mais,Anos de estudos concluídos da mãe
3,9,0,Nacional,Brasil
3,9,3,Branca,Raça/Cor
3,9,4,Negra,Raça/Cor
3,9,5,10 a 17 anos,Faixa etária da mãe
3,9,6,18 a 49 anos,Faixa etária da mãe
3,9,7,Nenhum,Anos de estudos concluídos da mãe
3,9,8,1 a 3 anos,Anos de estudos concluídos da mãe
3,9,9,4 a 7 anos,Anos de estudos concluídos da mãe
3,9,10,8 a 11 anos,Anos de estudos concluídos da mãe
3,9,11,12 anos ou mais,Anos de estudos concluídos da mãe
3,9,12,Rede pública,Dependência administrativa do estabelecimento de saúde
3,9,13,Rede particular,Dependência administrativa do estabelecimento de saúde
3,10,0,Nacional,Brasil
3,10,1,Feminino,Sexo
3,10,2,Masculino,Sexo
3,10,3,Branca,Raça/Cor
3,10,4,Negra,Raça/Cor
3,10,14,Taxa de mortalidade neonatal precoce,Componente da taxa de mortalidade infantil
3,10,15,Taxa de mortalidade neonatal tardia,Componente da taxa de mortalidade infantil
3,10,16,Taxa de mortalidade pós-neonatal,Componente da taxa de mortalidade infantil
3,10,17,Taxa de mortalidade infantil,Taxa de mortalidade infantil
3,10,18,Taxa de mortalidade na faixa de 1 a 4 anos de idade,Componente da taxa de mortalidade na infância
3,10,19,Algumas doenças infecciosas e parasitárias,Causas de mortalidade
3,10,20,Neoplasias,Causas de mortalidade
3,10,21,Doenças do aparelho circulatórias,Causas de mortalidade
3,10,22,Doenças do aparelho respiratório,Causas de mortalidade
3,10,23,Algumas afecções originadas no período perinatal,Causas de mortalidade
3,10,24,Causas externas,Causas de mortalidade
3,10,25,Demais causas definidas,Causas de mortalidade
3,11,0,Nacional,Brasil
3,12,0,Nacional,Brasil
3,13,0,Nacional,Brasil
3,14,0,Nacional,Brasil
3,15,0,Nacional,Brasil
3,15,1,Feminino,Sexo
3,15,2,Masculino,Sexo
3,15,3,Branca,Raça/Cor
3,15,4,Negra,Raça/Cor
3,16,0,Nacional,Brasil
3,16,1,Feminino,Sexo
3,16,2,Masculino,Sexo
3,16,3,Branca,Raça/Cor
3,16,4,Negra,Raça/Cor
3,17,0,Nacional,Brasil
3,17,1,Feminino,Sexo
3,17,2,Masculino,Sexo
3,17,3,Branca,Raça/Cor
3,17,4,Negra,Raça/Cor
