Indicador;Nome;Tema;Base;Conceito;ODS
101;Estimativa de sub-registro de nascimento ;1;"IBGE: 
Estatísticas de Registro Civil;
Pareamento com o SINASC e projeção da população";Percentual de nascimentos não registrados no mesmo ano de sua ocorrência ou no primeiro trimestre do ano subsequente, em determinado espaço geográfico, no ano considerado.;"ODS 16; ODS 10"
102;Taxa de realização de cuidados domésticos ou familiares com crianças ;1;"IBGE:
PNAD-C";Proporção da população residente com 14 anos ou mais de idade que desempenhou tarefas de cuidado com moradores de 0 a 5 anos no âmbito de suas atividades domésticas ou familiares, em determinado espaço geográfico, no ano considerado. ;ODS 5
103;Proporção de crianças em situação domiciliar de pobreza;1;"IBGE: 
PNAD-C";Percentual da população residente de 0 a 5 anos de idade com renda domiciliar mensal per capita de até meio salário mínimo, em determinado espaço geográfico, no ano considerado.;ODS 1
104;Proporção de crianças beneficiárias do Programa Bolsa Família;1;"Ministério da Cidania: 
CadÚnico";Percentual de crianças de 0 a 5 anos beneficiárias do Programa Bolsa Família, no total de crianças na mesma faixa-etária em situação de probreza (renda domiciliar mensal per capita de até R$ 178,00) inseridas no Cadastro Único, em determinado espaço geográfico, no ano considerado.;"ODS 1; ODS 10"
107;Taxa de Acolhimento ;1;Ministério da Cidadania;Em construção;ODS 16
108;Proporção de crianças em Famílias Acolhedoras;1;"Ministério da Cidadania:
Censo SUAS";"Percentual de crianças de 0 a 5 anos em Famílias Acolhedoras no total de crianças na mesma faixa-etária em situação de acolhimento, no mês de referência, em determinado espaço geográfico, no ano considerado.
";"ODS 1; ODS 16"
109;Número de Centros de Referência de Assistência Social – CRAS;1;"Ministério da Cidadania:
Censo SUAS";Número de Centros de Referência de Assistência Social - CRAS, em determinado espaço geográfico, no ano considerado.;ODS 1
111;Proporção de crianças em domicílios com acesso a saneamento básico ;1;"IBGE: 
PNAD-C";Percentual de crianças de 0 a 5 anos residentes em domicílios com acesso a rede de esgoto, água encanada e coleta de lixo, em determinado espaço geográfico, no ano considerado.;ODS 6
201;Número de matrículas em creches;2;Inep: Censo Escolar da Educação Básica;Número de crianças matriculadas em creches ou pré-escolas, em determinado espaço geográfico, no ano considerado.;ODS 4
202;Número de matrículas em pré-escolas;2;Inep: Censo Escolar da Educação Básica;Número de crianças matriculadas em creches ou pré-escolas, em determinado espaço geográfico, no ano considerado.;ODS 4
